
"ozone","temperature","wind","radiation"
3.44821724038273,67,7.4,190
3.30192724889463,72,8,118
2.28942848510666,74,12.6,149
2.6207413942089,62,11.5,313
2.84386697985157,65,8.6,299
2.66840164872194,59,13.8,99
2,61,20.1,19
2.51984209978975,69,9.7,256
2.22398009056931,66,9.2,290
2.41014226417523,68,10.9,274
2.6207413942089,58,13.2,65
2.41014226417523,64,11.5,334
3.23961180127748,66,12,307
1.81712059283214,57,18.4,78
3.10723250595386,68,11.5,322
2.22398009056931,62,9.7,44
1,59,9.7,8
2.22398009056931,73,16.6,320
1.5874010519682,61,9.7,25
3.1748021039364,61,12,92
2.84386697985157,67,12,13
3.55689330449006,81,14.9,252
4.86294413109428,79,5.7,223
3.33222185164595,76,7.4,279
3.07231682568585,82,9.7,127
4.14081774942285,90,13.8,291
3.39121144301417,87,11.5,323
2.84386697985157,82,8,148
2.75892417638112,77,14.9,191
3.33222185164595,72,20.7,284
2.71441761659491,65,9.2,37
2.28942848510666,73,11.5,120
2.35133468772076,76,10.3,137
5.12992784003009,84,4,269
3.65930571002297,85,9.2,248
3.1748021039364,81,9.2,236
4,83,4.6,175
3.41995189335339,83,10.9,314
4.25432086511501,88,5.1,276
4.59470089220704,92,6.3,267
4.59470089220704,92,5.7,272
4.39682967215818,89,7.4,175
2.15443469003188,73,14.3,264
3,81,14.9,175
1.91293118277239,80,14.3,48
3.63424118566428,81,6.9,260
3.27106631018859,82,10.3,274
3.93649718310217,84,6.3,285
4.29084042702621,87,5.1,187
3.97905720789639,85,11.5,220
2.51984209978975,74,6.9,7
4.30886938006377,86,8.6,294
4.7622031559046,85,8,223
2.71441761659491,82,8.6,81
3.73251115681725,86,12,82
4.34448148576861,88,7.4,213
3.68403149864039,86,7.4,275
4,83,7.4,253
3.89299641587326,81,9.2,254
3.39121144301417,81,6.9,83
2.0800838230519,81,13.8,24
2.51984209978975,82,7.4,77
4.9596756638423,89,4,255
4.46474509558454,90,10.3,229
4.79141985706278,90,8,207
3.53034833532606,86,11.5,192
3.03658897187566,82,11.5,273
4.02072575858906,80,9.7,157
2.80203933065539,77,10.3,71
3.89299641587326,79,6.3,51
2.84386697985157,76,7.4,115
3.14138065239139,78,10.9,244
3.53034833532606,78,10.3,190
2.75892417638112,77,15.5,259
2.0800838230519,72,14.3,36
3.55689330449006,79,9.7,212
5.51784835276224,81,3.4,238
4.17933919638123,86,8,215
4.23582358425489,97,9.7,203
4.90486813152402,94,2.3,225
4.37951913988789,96,6.3,237
4.39682967215818,94,6.3,188
4.57885697021333,91,6.9,167
4.27265868169792,92,5.1,197
4.17933919638123,93,2.8,183
4.49794144527541,93,4.6,189
3.60882608013869,87,7.4,95
3.1748021039364,84,15.5,92
2.71441761659491,80,10.9,252
2.84386697985157,78,10.3,220
2.75892417638112,75,10.9,230
2.88449914061482,73,9.7,259
3.53034833532606,81,14.9,236
2.75892417638112,76,15.5,259
3.03658897187566,77,6.3,238
2.0800838230519,71,10.9,24
2.35133468772076,71,11.5,112
3.58304787101595,78,6.9,237
2.6207413942089,67,13.8,224
2.35133468772076,76,10.3,27
2.88449914061482,68,10.3,238
2.51984209978975,82,8,201
2.35133468772076,64,12.6,238
2.84386697985157,71,9.2,14
3.30192724889463,81,10.3,139
1.91293118277239,69,10.3,49
2.41014226417523,63,16.6,20
3.10723250595386,70,6.9,193
2.41014226417523,75,14.3,191
2.6207413942089,76,8,131
2.71441761659491,68,11.5,223
